Param,ParamGroup,USGSPCode,CAS_Reg
Acrolein,"Organics, other",,107-02-8
Acrylonitrile,"Organics, pesticide",,107-13-1
Actinium-228,Radiochemical,,14331-83-0
Age,,,
Alachlor,"Organics, pesticide",,15972-60-8
Alachlor ESA,"Organics, pesticide",,142363-53-9
Alachlor OA,"Organics, pesticide",,
Aldicarb,"Organics, pesticide",,116-06-3
aldicarb,"Organics, pesticide",,116-06-3
Aldicarb sulfone,"Organics, pesticide",,1646-88-4
aldicarb sulfone,"Organics, pesticide",,1646-88-4
Aldicarb sulfoxide,"Organics, pesticide",,1646-87-3
aldicarb sulfoxide,"Organics, pesticide",,1646-87-3
Aldrin,"Organics, pesticide",,309-00-2
"Algae, floating mats (severity)",Physical,1325,
Algal growth potential,Biological,85209,
Alkalinity,"Inorganics, Major, Non-metals",409,
"alkalinity, bicarbonate","Inorganics, Major, Non-metals",,
"Alkalinity, Bicarbonate as CaCO3","Inorganics, Major, Non-metals",,
"alkalinity, caco3 stability","Inorganics, Major, Non-metals",,
"alkalinity, carbonate","Inorganics, Major, Non-metals",,
"Alkalinity, Carbonate as CaCO3","Inorganics, Major, Non-metals",,
"Alkalinity, Hydroxide as CaCO3","Inorganics, Major, Non-metals",,
"Alkalinity, Phenolphthalein (total hydroxide+1/2 carbonate)","Inorganics, Major, Non-metals",,
"Alkalinity, Phenolphthalein (total hydroxide+1/2 carbonate) as CaCO3","Inorganics, Major, Non-metals",,
"Alkalinity, total","Inorganics, Major, Non-metals",,
"alkalinity, total","Inorganics, Major, Non-metals",,
"Alkalinity, total as CaCO3","Inorganics, Major, Non-metals",,
Allyl chloride,"Organics, pesticide",,107-05-1
Allyl-sec-butyl-barbituric acid,,,
Alpha emitting radium isotopes,Radiochemical,9510,
Alpha particle,Radiochemical,,12587-46-1
alpha-chlordane,"Organics, pesticide",,
Alprazolam,"Organics, other",,28981-97-7
Alprazolam-D5,"Organics, other",,
Altitude,Information,42,
Aluminum,"Inorganics, Minor, Metals",,7429-90-5
aluminum,"Inorganics, Minor, Metals",,7429-90-5
Ametryn,"Organics, pesticide",82184,834-12-8
Aminomethylphosphonic acid,"Organics, pesticide",62649,1066-51-9
Amitriptyline,"Organics, other",,50-48-6
Amitriptyline (+/-)-E-10-hydroxylated,"Organics, other",,50-48-6
Ammonia,Nutrient,,7664-41-7
Ammonia and ammonium,Nutrient,608,
Ammonia as NH3,Nutrient,,
Ammonia uptake,Nutrient,,
Ammonia-nitrogen,Nutrient,,
Ammonia-nitrogen as N,Nutrient,,
Ammonium,Nutrient,,
Ammonium as N,Nutrient,,
Ammonium as NH4,Nutrient,,
Ammonium perchlorate,,,
Aniline,"Organics, other",,62-53-3
Anion deficit,Physical,,
Anion/cation ratio,Physical,,
Anions Total,Physical,,
Anthracene,"Organics, other",,120-12-7
Anthraquinone,"Organics, other",49437,84-65-1
Antimony,"Inorganics, Minor, Non-metals",,7440-36-0
"antimony, total","Inorganics, Minor, Non-metals",,7440-36-0
Antimony-125,Radiochemical,,14234-35-6
Apparent color,Physical,,
argon,"Inorganics, Minor, Non-metals",82043,7440-37-1
Argon,"Inorganics, Minor, Non-metals",85563,7440-37-1
Aroclor 1016,"Organics, PCBs",,12674-11-2
aroclor 1016,"Organics, PCBs",,12674-11-2
Aroclor 1221,"Organics, PCBs",,11104-28-2
aroclor 1221,"Organics, PCBs",,11104-28-2
Aroclor 1232,"Organics, PCBs",,11141-16-5
aroclor 1232,"Organics, PCBs",,11141-16-5
Aroclor 1242,"Organics, PCBs",,53469-21-9
aroclor 1242,"Organics, PCBs",,53469-21-9
Aroclor 1248,"Organics, PCBs",,12672-29-6
aroclor 1248,"Organics, PCBs",,12672-29-6
Aroclor 1254,"Organics, PCBs",,11097-69-1
aroclor 1254,"Organics, PCBs",,11097-69-1
Aroclor 1260,"Organics, PCBs",,11096-82-5
aroclor 1260,"Organics, PCBs",,11096-82-5
Aroclor 1262,"Organics, PCBs",,37324-23-5
Arsenate (AsO43-),"Inorganics, Minor, Non-metals",62453,15584-04-0
Arsenic,"Inorganics, Minor, Non-metals",,7440-38-2
arsenic,"Inorganics, Minor, Non-metals",,7440-38-2
Arsenite,"Inorganics, Minor, Non-metals",62452,15502-74-6
"Arsonic acid, methyl-, ion(1-)","Organics, other",62454,51952-66-0
asbestos,"Inorganics, Minor, Non-metals",,1332-21-4
Atenolol,"Organics, other",,29122-68-7
Atenolol-D7,"Organics, other",,29122-68-8
Atraton,"Organics, pesticide",,1610-17-9
Atrazine,"Organics, pesticide",,1912-24-9
atrazine,"Organics, pesticide",,1912-24-9
Atrazine-d5 (ethyl-d5),"Organics, pesticide",,
Azinphos-methyl,"Organics, pesticide",,86-50-0
Azobenzene,"Organics, pesticide",,103-33-3
Azoxystrobin,"Organics, pesticide",,131860-33-8
"Bacteria mixture, unspecified",Microbiological,,
barium,"Inorganics, Minor, Metals",,7440-39-3
Barium,"Inorganics, Minor, Metals",1005,7440-39-3
Barometric pressure,Physical,,
Bendiocarb,"Organics, pesticide",,22781-23-3
Benfluralin,"Organics, pesticide",,1861-40-1
Benomyl,"Organics, pesticide",50300,17804-35-2
Bensulfuron-methyl,"Organics, pesticide",61693,83055-99-6
Bentazon,"Organics, pesticide",,25057-89-0
Benz[a]anthracene,"Organics, other",,56-55-3
Benzaldehyde,"Organics, other",,100-52-7
"Benzamide, 5-chloro-N-[2-[4-[[[(cyclohexylamino)carbonyl]amino]sulfonyl]phenyl]ethyl]-2-methoxy-",,,
Benzene,Toxicity,,71-43-2
benzene,Toxicity,,71-43-2
"Benzene, 1,1'-oxybis[2,4-dibromo-","Organics, other",63147,5436-43-1
"Benzene, 1,3(and 1,4)-dimethyl- Chemical m(and p)-xylene","Organics, other",85795,179601-23-1
"Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites",Toxicity,90852,71-43-2
"Benzene, 1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]-","Organics, pesticide",49347,30667-99-3
"Benzene, pentachloromethoxy-","Organics, pesticide",49460,1825-21-4
"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-","Organics, other",,15687-27-1
"Benzeneethanamine, .alpha.-methyl-, (.alpha.S)-, sulfate (2:1)","Organics, other",,
"Benzenemethanol, .alpha.-[(1R)-1-aminoethyl]-, hydrochloride (1:1), (.alpha.S)-rel-","Organics, other",,
"Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, (.alpha.S)-","Organics, other",,
Benzidine,"Organics, other",,92-87-5
benzo(a)pyrene,"Organics, other",,50-32-8
Benzo(b)fluoranthene,"Organics, other",,205-99-2
Benzo[a]pyrene,"Organics, other",,50-32-8
Benzo[c]cinnoline,"Organics, other",49468,230-17-1
Benzo[e]pyrene,"Organics, other",,192-97-2
Benzo[ghi]perylene,"Organics, other",,191-24-2
Benzo[k]fluoranthene,"Organics, other",,207-08-9
Benzoic acid,"Organics, other",,65-85-0
Benzophenone,"Organics, other",,119-61-9
Benzoylecgonine hydrate,"Organics, other",,
Benzoylecgonine-D3,"Organics, other",,
Benzphetamine hydrochloride,"Organics, other",,
Benzyl alcohol,"Organics, other",,100-51-6
Beryllium,"Inorganics, Minor, Metals",,7440-41-7
"beryllium, total","Inorganics, Minor, Metals",,7440-41-7
Beta Cypermethrin,"Organics, pesticide",61586,52315-07-8
Beta particle,Radiochemical,,12587-47-2
Bezafibrate,"Organics, other",,41859-67-0
bhc-gamma,"Organics, pesticide",,58-89-9
Bicarbonate,"Inorganics, Major, Non-metals",,71-52-3
bicarbonate as hco3,"Inorganics, Major, Non-metals",,71-52-3
"Biochemical oxygen demand, non-standard conditions",Physical,324,
"Biochemical oxygen demand, standard conditions",Physical,,
"Biomass, periphyton",Biological,,
Biphenyl,"Organics, other",,92-52-4
Bis(2-chloro-1-methylethyl) ether,"Organics, other",,108-60-1
Bis(2-chloroethoxy)methane,"Organics, other",,111-91-1
Bis(2-chloroethyl) ether,"Organics, other",,111-44-4
Bis(2-chloroisopropyl) ether,"Organics, other",,39638-32-9
bis(2-ethylhexyl) phthalate,"Organics, other",,
Bismuth,"Inorganics, Minor, Metals",,7440-69-9
Bismuth-212,Radiochemical,,14913-49-6
Bismuth-214,Radiochemical,,14733-03-0
boron,"Inorganics, Minor, Non-metals",,7440-42-8
Boron,"Inorganics, Minor, Non-metals",999,7440-42-8
"boron, total","Inorganics, Minor, Non-metals",,7440-42-8
Bromacil,"Organics, pesticide",,314-40-9
Brombuterol hydrochloride,,,
Bromide,"Inorganics, Major, Non-metals",,24959-67-9
bromide,"Inorganics, Major, Non-metals",91000,24959-67-9
Bromine,"Inorganics, Minor, Non-metals",,7726-95-6
bromine,"Inorganics, Minor, Non-metals",71871,7726-95-6
Bromoacetic acid,"Organics, other",,79-08-3
Bromobenzene,"Organics, other",,108-86-1
bromobenzene,"Organics, other",,108-86-1
Bromochloroacetic acid,"Organics, other",,5589-96-8
bromochloromethane,"Organics, other",,74-97-5
bromodichloromethane,"Organics, other",,75-27-4
bromoform,"Organics, other",,75-25-2
bromomethane,"Organics, other",,74-83-9
Bromoxynil,"Organics, pesticide",,1689-84-5
Bromoxynil-13C6,"Organics, pesticide",,
Bupropion,"Organics, pesticide",,
Butachlor,"Organics, pesticide",,23184-66-9
butachlor,"Organics, pesticide",,23184-66-9
Butachlor ESA,"Organics, pesticide",,23184-66-9
Butalbital,,,
Butyl benzyl phthalate,"Organics, other",,85-68-7
Butylate,"Organics, pesticide",,2008-41-5
Butylated hydroxyanisole,,,
Butylparaben,,,
C12 Hydrocarbons,,,
C1-C3 Fluorenes,,,
C1-C4 Chrysenes,,,
C1-C4 Fluoranthenes,,,
C1-C4 Phenanthrenes,,,
C28 Hydrocarbons,,,
Cacodylic acid,"Organics, pesticide",62455,75-60-5
Cadmium,"Inorganics, Minor, Metals",,7440-43-9
cadmium,"Inorganics, Minor, Metals",,7440-43-9
Caffeine,"Organics, other",,58-08-2
Caffeine-trimethyl-13C3,"Organics, other",,
Calcium,"Inorganics, Major, Metals",,7440-70-2
calcium,"Inorganics, Major, Metals",91051,7440-70-2
Calcium as CaCO3,"Inorganics, Major, Metals",,
Calcium carbonate as CaCO3,"Inorganics, Major, Non-metals",,
calcium hardness,Physical,,
Camphor,"Organics, pesticide",,76-22-2
Cannabidiol,,,
Cannabinol,,,
Caprolactam,"Organics, other",,105-60-2
Carbamazepine,"Organics, other",,298-46-4
Carbamazepine-d10,"Organics, other",,298-46-4
Carbaryl,"Organics, pesticide",,63-25-2
carbaryl,"Organics, pesticide",,63-25-2
Carbazole,"Organics, pesticide",,86-74-8
Carbofuran,"Organics, pesticide",,1563-66-2
carbofuran,"Organics, pesticide",,1563-66-2
Carbofuran-D3,"Organics, pesticide",,
Carbon,"Inorganics, Major, Non-metals",,
Carbon dioxide,"Inorganics, Major, Non-metals",,124-38-9
carbon dioxide,"Inorganics, Major, Non-metals",,124-38-9
Carbon disulfide,"Organics, pesticide",,75-15-0
Carbon tetrachloride,Toxicity,,56-23-5
carbon tetrachloride,Toxicity,,56-23-5
"carbon, total","Inorganics, Major, Non-metals",,
Carbon-13/Carbon-12 ratio,Stable Isotopes,82081,14762-74-4
"Carbon-13/carbon-12, ratio",Stable Isotopes,,
Carbon-14,Radiochemical,,14762-75-5
"Carbonaceous biochemical oxygen demand, non-standard conditions",Physical,320,
"Carbonaceous biochemical oxygen demand, standard conditions",Physical,,
Carbonate,"Inorganics, Major, Non-metals",,
Carbonate (CO3),"Inorganics, Major, Non-metals",430,3812-32-6
Carbonate as CaCO3,"Inorganics, Major, Non-metals",,
Carbophenothion,"Organics, pesticide",,786-19-6
Carbophenothion-methyl,"Organics, pesticide",39790,953-17-3
Carboxin,"Organics, pesticide",30245,5234-68-4
Carisoprodol,"Organics, other",,78-44-4
Cation Total,Physical,,
Cations-Anions,Physical,,
Cerium,"Inorganics, Minor, Metals",,7440-45-1
Cesium,"Inorganics, Minor, Metals",,7440-46-2
Cesium-134,Radiochemical,,13967-70-9
Cesium-137,Radiochemical,,10045-97-3
CFC-11,"Organics, other",,75-69-4
CFC-113,"Organics, other",,76-13-1
CFC-12,"Organics, other",,75-71-8
Charge Balance,Physical,,
Chemical oxygen demand,Physical,,
"Chemical oxygen demand, (high level)",Physical,340,
"Chemical oxygen demand, (low level)",Physical,335,
Chloramben-methyl,"Organics, pesticide",61188,7286-84-2
Chloramphenicol,"Organics, other",,56-75-7
Chlordane,"Organics, pesticide",,
chlordane,"Organics, pesticide",,
"Chlordane, technical","Organics, pesticide",39350,12789-03-6
"Chlordane, technical, and/or chlordane metabolites","Organics, pesticide",39353,
Chlordecone,"Organics, pesticide",,143-50-0
Chlordiazepoxide hydrochloride,,,
Chloride,"Inorganics, Major, Non-metals",,16887-00-6
chloride,"Inorganics, Major, Non-metals",91001,16887-00-6
Chlorimuron-ethyl,"Organics, pesticide",,90982-32-4
Chlorinated naphthalenes,"Organics, other",39250,70776-03-3
Chlorine,"Inorganics, Major, Non-metals",,7782-50-5
Chloroacetic acid,"Organics, other",,79-11-8
Chlorobenzene,Toxicity,,108-90-7
chlorobenzene,Toxicity,,108-90-7
Chlorodibromomethane,"Organics, other",,124-48-1
Chloroethane,"Organics, other",,75-00-3
chloroethane,"Organics, other",,75-00-3
Chloroform,Toxicity,,67-66-3
chloroform,Toxicity,,67-66-3
Chloromethane,"Organics, other",,74-87-3
chloromethane,"Organics, other",,74-87-3
Chloroneb,"Organics, pesticide",49322,2675-77-6
Chlorophyll a,Biological,,479-61-8
"Chlorophyll a, free of pheophytin",Biological,,479-61-8
"Chlorophyll a, uncorrected for pheophytin",Biological,,479-61-8
Chlorophyll b,Biological,,519-62-0
Chlorophyll c,Biological,,11003-45-5
Chloroprene,"Organics, other",,126-99-8
Chlorothalonil,"Organics, pesticide",,1897-45-6
Chlorotoluene,,,
Chlorpheniramine,"Organics, other",,132-22-9
Chlorpyrifos,"Organics, pesticide",,2921-88-2
Chlorthal-dimethyl,"Organics, pesticide",,1861-32-1
Chlorthal-Monomethyl,"Organics, pesticide",,
"Cholestan-3-ol, (3.beta.,5.beta.)-","Organics, other",62057,360-68-9
Cholesterol,"Organics, other",,57-88-5
Chromium,"Inorganics, Minor, Metals",,7440-47-3
chromium,"Inorganics, Minor, Metals",,7440-47-3
Chromium(III),"Inorganics, Minor, Metals",,16065-83-1
Chromium(VI),"Inorganics, Minor, Metals",,18540-29-9
"chromium, hex","Inorganics, Minor, Metals",,7440-47-3
Chrysene,"Organics, other",,218-01-9
Chrysene-d12,"Organics, other",,
Cimetidine,,,
cis-(-)-2-[(Dimethylamino)methyl]-1[3-methoxyphenyl]-cyclohexanol,"Organics, other",,
"cis-1,2-Dichloroethylene","Organics, other",,156-59-2
"cis-1,2-dichloroethylene","Organics, other",,156-59-2
"cis-1,3-Dichloropropene","Organics, pesticide",,10061-01-5
"cis-1,3-dichloropropene","Organics, pesticide",,10061-01-5
cis-Chlordane,"Organics, pesticide",,5103-71-9
cis-Nonachlor,"Organics, pesticide",,5103-73-1
Clenbuterol,,,
Clobazam,,,
Clonazepam,,,
Clonidine hydrochloride,,,
Clopyralid,"Organics, pesticide",4091,1702-17-6
Cloud cover,Physical,,
Cloud cover (percent),Physical,32,
Coal,"Organics, other",82031,125612-26-2
Cobalt,"Inorganics, Minor, Metals",,7440-48-4
Cobalt-60,Radiochemical,,10198-40-0
Cocaethylene,,,529-38-4
Cocaethylene-D3,,,529-38-4
Cocaine hydrochloride,"Organics, other",,
Cocaine-D3,"Organics, other",,
Codeine,,,
coliform (tcr),Microbiological,,
"Coliform/Streptococcus ratio, fecal",Microbiological,,
Color,Physical,80,
color,Physical,,
combined radium (-226 & -228),Radiochemical,,
combined uranium,Radiochemical,,
Conductivity,Physical,,
conductivity @ 25 c umhos/cm,Physical,,
Copper,"Inorganics, Minor, Metals",,7440-50-8
"copper, free","Inorganics, Minor, Metals",,7440-50-8
"Corrosion & scaling control, Ryznar Stability Index",,,
Cresol,,,
Cumene,"Organics, other",,98-82-8
Cyanazine,"Organics, pesticide",,21725-46-2
Cyanide,"Inorganics, Minor, Non-metals",,57-12-5
cyanide,"Inorganics, Minor, Non-metals",,57-12-5
cyanides amenable to chlorination (hcn & cn),"Inorganics, Minor, Non-metals",,
Cycloate,"Organics, pesticide",4031,1134-23-2
Cyclohexane,"Organics, other",,110-82-7
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-","Organics, other",62073,5989-27-5
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-","Organics, other",62075,1222-05-5
Cyfluthrin,"Organics, pesticide",61585,68359-37-5
Cymene,"Organics, other",,25155-15-1
Cyprazine,"Organics, pesticide",82187,22936-86-3
D9 (+/-)11-nor-9-carboxy-delta-THC,"Organics, other",,
Dalapon,"Organics, pesticide",,75-99-0
dalapon,"Organics, pesticide",,75-99-0
"Dead fish, severity",Biological,1340,
Demeton,"Organics, pesticide",39560,8065-48-3
Density of water at 20 deg C,Physical,71820,
Depth,Information,,
Depth of pond or reservoir in feet,Physical,72025,
Depth to water level below land surface,Physical,72019,
"Depth, bottom",Information,,
"Depth, data-logger (non-ported)",Information,,
"Depth, data-logger (ported)",Information,,
"Depth, from ground surface to well water level",Physical,,
"Depth, Secchi disk depth",Information,,
"Depth, snow cover",Physical,82300,
Desipramine,"Organics, other",,50-47-5
"Detergent, severity",Physical,1305,
Deuterium/Hydrogen ratio,Stable Isotopes,,7782-39-0
Dextromethorphan hydrobromide,"Organics, other",,
Dextronorgestrel,"Organics, other",,
Di(2-ethylhexyl) adipate,"Organics, other",,103-23-1
di(2-ethylhexyl) adipate,"Organics, other",,103-23-1
Di(2-ethylhexyl) phthalate,"Organics, other",,117-81-7
di(2-ethylhexyl) phthalate,"Organics, other",,117-81-7
Diazepam,"Organics, other",,439-14-5
Diazepam-D5,"Organics, other",,
Diazinon,"Organics, pesticide",,333-41-5
Diazinon-D10,"Organics, pesticide",,
"Dibenz[a,h]anthracene","Organics, other",,53-70-3
Dibenzofuran,"Organics, other",,132-64-9
Dibenzothiophene,"Organics, other",49452,132-65-0
Dibromoacetic acid,"Organics, other",,631-64-1
dibromoacetic acid,"Organics, other",,631-64-1
