CAS_Reg,Param,ParamGroup,USGSPCode
NULL,"1,2,4-Trichlorobenzene",NULL,34551
NULL,"1,2,4-Trichlorobenzene",NULL,34554
NULL,"1,2,4-Trichlorobenzene",NULL,49438
NULL,"1,2,4-Trimethylbenzene",NULL,NULL
NULL,"1,2,4-Trimethylbenzene",NULL,77222
NULL,"1,2-Dibromo-3-chloropropane",NULL,NULL
NULL,"1,2-Dibromo-3-chloropropane",NULL,38760
NULL,"1,2-Dibromo-3-chloropropane",NULL,82625
NULL,"1,2-Dichloroethane",NULL,NULL
NULL,"1,2-Dichloroethane",NULL,32103
NULL,"1,2-Dichloroethylene",NULL,NULL
NULL,"1,2-Dichloroethylene",NULL,45617
NULL,"1,2-Dichloropropane",NULL,NULL
NULL,"1,2-Dichloropropane",NULL,34541
NULL,"1,2-Dimethylnaphthalene",NULL,49403
NULL,"1,2-Diphenylhydrazine",NULL,NULL
NULL,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",NULL,NULL
NULL,"1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-",NULL,50355
NULL,"1,3,5-Trimethylbenzene",NULL,NULL
NULL,"1,3,5-Trimethylbenzene",NULL,77226
NULL,"1,3-Dichloropropane",NULL,NULL
NULL,"1,3-Dichloropropane",NULL,77173
NULL,"1,3-Dichloropropene",NULL,NULL
NULL,"1,3-Dichloropropene",NULL,34561
NULL,"1,4-Benzenedicarboxylic acid, 2,3,5,6-tetrachloro-, monomethyl ester",NULL,49304
NULL,"1,4-Dichloro-2-butene",NULL,NULL
NULL,"1,4-Dichloro-2-butyne",NULL,NULL
NULL,"1,4-Dioxane",NULL,NULL
NULL,"1,6-Dimethylnaphthalene",NULL,49404
NULL,1-Chloropropane,NULL,NULL
NULL,"1H-Benzotriazole, 5-methyl-",NULL,61944
NULL,"1H-Benzotriazole, 5-methyl-",NULL,62063
NULL,1-Methylfluorene,NULL,49398
NULL,1-Methylnaphthalene,NULL,NULL
NULL,1-Methylnaphthalene,NULL,62054
NULL,1-Methylnaphthalene,NULL,81696
NULL,1-Methylphenanthrene,NULL,49410
NULL,1-Methylpyrene,NULL,49388
NULL,1-Naphthol,NULL,49295
NULL,1-Naphthol,NULL,77441
NULL,1-Phenethyl-4-(phenylpropionylamino)piperidine,NULL,NULL
NULL,1RS cis-Permethrin,NULL,49349
NULL,1RS cis-Permethrin,NULL,82687
NULL,2-(Dimethylamino)-N-hydroxy-2-oxoethanimidothioic acid methyl ester,NULL,50410
NULL,"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",NULL,NULL
NULL,"2,2'-Biquinoline",NULL,49391
NULL,"2,2-Dichloropropane",NULL,NULL
NULL,"2,2-Dichloropropane",NULL,77170
NULL,"2,3,4,6-Tetrachlorophenol",NULL,NULL
NULL,"2,3,4-Trichlorobiphenyl",NULL,NULL
NULL,"2,3,5,6-Tetrachlorophenol",NULL,NULL
NULL,"2,3,6-Trimethylnaphthalene",NULL,49405
NULL,"2,4,5-T",NULL,NULL
